,brand,model,operation_mode,feed_opening_shape,body_material,liner_material,applicable_number,power,cooking_function,function,capacity,speed_adjustment,type,cup_material,speed,status
1709,whirlpool/惠而浦,WBL-MP151B,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,12档,,Tritan材料,45000-49999转/分钟,0
1710,优阳,XZ-J20B,,,,,5人以上,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,碎冰,榨汁,干磨",2L容量,12档,,,45000-49999转/分钟,0
1711,优阳,XZ-J20A,,,,,5人以上,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,12档,,食品级PP材料,45000-49999转/分钟,0
1712,eupa/灿坤,TSK-945SST,,,,,1-3人,200-400W,,"打蛋,搅拌,和面,混合",4.4L容量,12档,,不锈钢,0-4999转/分钟,0
1713,healthpool,HP1300,,,,,4-5人,2200-2400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,12档,,Tritan材料,35000-39999转/分钟,0
1714,royalstar/荣事达,RZ-678A,,,,,1-3人,400-600W,,"搅拌,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁",0.8L容量,12档,,塑料,15000-19999转/分钟,0
1715,braun/博朗,MR5550,,,,,5人以上,400-600W,,混合,0.6L容量,12档,,塑料,5000-9999转/分钟,0
1716,morphyrichards/摩飞电器,MR9030,,,,,4-5人,400-600W,,"打蛋,搅拌,和面,混合",4.3L容量,12档,,不锈钢,0-4999转/分钟,0
1717,闪亮,TM-902,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,12档,,玻璃,45000-49999转/分钟,0
1718,greenis/格丽思,G-8880T,,,,,4-5人,1200-1400W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,辅食,碎冰,榨汁,干磨",2L容量,12档,,,45000-49999转/分钟,0
1719,lydea/丽电,P9,,,,,5人以上,1200-1400W,,"碎冰,搅拌,制奶昔,干磨,榨汁",1.75L容量,12档,,玻璃,45000-49999转/分钟,0
1720,正源,PBJ-811,,,,,2-7人,1200-1400W,,"搅拌,豆浆,碎肉,制奶昔,辅食,绞肉,碎冰,榨汁,干磨,浓汤",1.75L容量,12档,,玻璃,35000-39999转/分钟,0
1721,babosi/巴博斯,MD-B1401,,,,,5人以上,600-800W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,辅食,碎冰,榨汁,干磨",0.8L容量,12档,,玻璃,25000-29999转/分钟,0
1722,bosch/博世,MSMM7310CN,,,,,1-3人,600-800W,,"打蛋,搅拌,切菜,碎肉,制奶昔",0.6L容量,12档,,塑料,0-4999转/分钟,0
1723,bosch/博世,MSMM8910CN,,,,,1-3人,600-800W,,"打蛋,搅拌,切菜,碎肉,制奶昔",0.6L容量,12档,,塑料,0-4999转/分钟,0
1724,royalstar/荣事达,RZ-108T,,,,,1-3人,2400-2600W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,2档以上,,,65000-69999转/分钟,0
1725,orowa/欧诺华,VK-9001,,,,,5人以上,2000-2200W,,"搅拌,切丝/切片,碎肉,制奶昔,打蛋,绞肉,碎冰",2L容量,12档,,Tritan材料,45000-49999转/分钟,0
1726,orowa/欧诺华,VK6002,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,12档,,Tritan材料,45000-49999转/分钟,0
1727,orowa/欧诺华,VK-6001,,,,,5人以上,2000-2200W,,"碎骨,搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,12档,,Tritan材料,45000-49999转/分钟,0
1728,dark horse/黑马,318,,,,,1-8人,2000-2200W,,"搅拌,碎肉,制奶昔,混合,绞肉,鱼骨汤,碎冰,榨汁,干磨",2L容量,12档,,Tritan材料,45000-49999转/分钟,0
1729,greenkids/绿娃,TL-722B,,,,,4-5人,2000-2200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,12档,,玻璃,45000-49999转/分钟,0
1730,xeyhome/欣宜家,XY-780,,,,,4-5人,2000-2200W,,"绞肉,搅拌,碎肉,制奶昔,混合,浓汤豆浆,碎冰,榨汁,干磨",1.75L容量,12档,,玻璃,45000-49999转/分钟,0
1731,阳光の味道,SRQ-7312,,,,,4-5人,2000-2200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.75L容量,12档,,玻璃,45000-49999转/分钟,0
1732,sande/三的,SD-783,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,榨汁",2L容量,12档,,玻璃,45000-49999转/分钟,0
1733,sande/三的,SD-526,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.75L容量,12档,,玻璃,45000-49999转/分钟,0
1734,amoi/夏新,YM603,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,和面,切菜,绞肉,碎冰,切丝/切片,榨汁,干磨",2L容量,12档,,玻璃,45000-49999转/分钟,0
1735,sande/三的,SD-510,,,,,5人以上,2000-2200W,,"搅拌,榨汁,混合",2L容量,12档,,玻璃,45000-49999转/分钟,0
1736,oumaisi/欧麦斯,8048,,,,,4-5人,2000-2200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",2L容量,12档,,不锈钢,45000-49999转/分钟,0
1737,狮威特,BR11,,,,,1-3人,1600-1800W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.2L容量,12档,,,30000-34999转/分钟,0
1738,阳光の味道,SRQ-7311,,,,,4-5人,1600-1800W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.75L容量,12档,,环保材料,45000-49999转/分钟,0
1739,aux/奥克斯,HX-PB1053,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,20档,,食品级材料,30000-34999转/分钟,0
1740,hanjiaours/汉佳欧斯,SY-700,,,,,4-5人,1000-1200W,,"搅拌,切菜,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,20档,,玻璃,45000-49999转/分钟,0
1741,福菱,FL1588,,,,,5人以上,600-800W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁",0.5L,20档,,塑料,15000-19999转/分钟,0
1742,福菱,FL2608,,,,,5人以上,1600-1800W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,20档,,玻璃,45000-49999转/分钟,0
1743,福菱,FL1698,,圆形,食品级ABS,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1.2L容量,2档以上,,食品级PC材料,其他,0
1744,zkd/中科电,ZZ99-S,,圆形,塑料,,5人以上,400-600W,,"搅拌,制奶昔,绞肉,辅食,豆浆,碎冰,榨汁,干磨",1.2L容量,2档以上,,塑料,20000-24999转/分钟,0
1745,喜能达,GS-3005,,圆形,不锈钢,,1-3人,400-600W,,"搅拌,制奶昔,绞肉,辅食,豆浆,榨汁",0.6L容量,2档以上,,Tritan材料,20000-24999转/分钟,0
1746,喜能达,GS-3006,,圆形,塑料,,1-3人,400-600W,,"制奶昔,绞肉,辅食,豆浆,沙冰,榨汁",0.6L容量,2档以上,,Tritan材料,20000-24999转/分钟,0
1747,sande/三的,SD-LL06,,圆形,不锈钢,,,400-600W,,"搅拌,制奶昔,榨汁",0.6L容量,2档以上,,Tritan材料,20000-24999转/分钟,0
1748,zkd/中科电,ZZ102,,圆形,不锈钢,,4-5人,400-600W,,"搅拌,碎肉,制奶昔,辅食,榨汁,干磨",1.6L容量,2档以上,,食品级PC材料,25000-29999转/分钟,0
1749,ranbem/瑞本,CY-329,,圆形,,,5人以上,1000-1200W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",1.75L容量,2档以上,,食品级材料,20000-24999转/分钟,0
1750,sande/三的,SD-PBC50,,,,,1-3人,2000-2200W,,"搅拌,碎肉,切菜,碎冰,榨汁,干磨",2.5L容量,多档选择,,Tritan材料,45000-49999转/分钟,0
1751,汉宝,HB-J103,,圆形,食品级ABS,,4-5人,400-600W,,"碎肉,切菜,干磨,榨汁",1.5L容量,多档选择,,食品级PC材料,15000-19999转/分钟,0
1752,ranbem/瑞本,767,,,,,4-5人,1200-1400W,,"搅拌,冰沙,果汁",2L容量,多档选择,,食品级PC材料,45000-49999转/分钟,0
1753,韩优,H-500,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁",2L容量,10档,,Tritan材料,30000-34999转/分钟,0
1754,philips/飞利浦,HR3868,,,,,5人以上,1800-2000W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,10档,,Tritan材料,45000-49999转/分钟,0
1755,philips/飞利浦,HR3865,,,,,5人以上,1800-2000W,,"碎冰,搅拌,制奶昔,干磨,碎肉",2L容量,10档,,Tritan材料,45000-49999转/分钟,0
1756,skg,1288,,,,,5人以上,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,10档,,Tritan材料,30000-34999转/分钟,0
1757,vorwerk/福维克,THERMOMIX,,,,,5人以上,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2.2L容量,10档,,,10000-14999转/分钟,0
1758,kesn/祺升,KS-310,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,10档,,玻璃,35000-39999转/分钟,0
1759,vitamix/维他密斯,5200S,,,,,5人以上,1400W-1600W,,"搅拌,榨汁",,10档,,玻璃,35000-39999转/分钟,0
1760,元扬,MP3P,,,,,4-5人,1400W-1600W,,"搅拌,米糊,绞肉,豆浆,碎冰,沙冰",2L容量,10档,,塑料,35000-39999转/分钟,0
1761,元扬,MP3R,,,,,5人以上,1400W-1600W,,"搅拌,米糊,五谷,绞肉,豆浆,沙冰,榨汁",2L容量,10档,,聚碳酸酯材料,35000-39999转/分钟,0
1762,元扬,EJ-747-3P,,,,,1-5人,1400W-1600W,,"碎冰,搅拌,生机料理,混合",2L容量,10档,,聚碳酸酯材料,0-4999转/分钟,0
1763,konka/康佳,KJ-JH20,,,,,1-3人,100-200W,,"搅拌,碎肉,混合,打蛋,绞肉,碎冰,榨汁",0.8L容量,,,玻璃,,0
1764,kitchenaid/凯膳怡,5KSM7590,,,,,5人以上,400-600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",6.9L容量,10档,,不锈钢,0-4999转/分钟,0
1765,元扬,EJ-747-2P,,,,,1-5人,1000-1200W,,"碎冰,搅拌,生机食疗,混合",2L容量,10档,,Tritan材料,25000-29999转/分钟,0
1766,vitamix/维他美仕,pro750,,,,,4-5人,1000-1200W,,榨汁,2L容量,10档,,Tritan材料,20000-24999转/分钟,0
1767,panasonic/松下,ZX1800,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,浓汤",1.8L容量,10档,,Tritan材料,30000-34999转/分钟,0
1768,oster/奥士达,BLSTBL70-073,,,,,4-5人,1000-1200W,,"搅拌,混合",1.5L容量,10档,,Tritan材料,25000-29999转/分钟,0
1769,松泰,ST-816,,,,,4-5人,1000-1200W,,"碎冰,碎肉,榨汁,干磨,搅拌",,10档,,,25000-29999转/分钟,0
1770,元扬,EJ-816,,,,,4-5人,1000-1200W,,"碎冰,搅拌,制奶昔,生机料理,混合",1.2L容量,10档,,Tritan材料,0-4999转/分钟,0
1771,german pool/德国宝,PHD-100,,,,,5人以上,1000-1200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,干磨",1.5L容量,10档,,Tritan材料,30000-34999转/分钟,0
1772,skg,2086T,,,,,1-6人,1000-1200W,,"搅拌,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.4L容量,10档,,玻璃,35000-39999转/分钟,0
1773,欧美爵士,BL202S-C,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",,10档,,玻璃,20000-24999转/分钟,0
1774,vitamix/维他美仕,TNC5200,,,,,4-5人,1000-1200W,,"搅拌,切菜,碎肉,切丝,制奶昔,切片,绞肉,碎冰,榨汁,干磨",2L容量,10档,,玻璃,35000-39999转/分钟,0
1775,asd/爱仕达,AJ-L70E105,,,,,4-5人,1000-1200W,,"碎肉,搅拌,酱料,制奶昔,米糊,豆浆,沙冰,榨汁",2L容量,10档,,玻璃,25000-29999转/分钟,0
1776,electrolux/伊莱克斯,KA-PB501,,,,,5人以上,1000-1200W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",2L容量,10档,,玻璃,25000-29999转/分钟,0
1777,元扬,EJ-747R,,,,,5人以上,1000-1200W,,"搅拌,酱料,豆浆,碎冰,沙冰,榨汁",2L容量,10档,,塑料,25000-29999转/分钟,0
1778,joyoung/九阳,JYL-Y8 PLUS,,,,,4-5人,1000-1200W,,"碎冰,搅拌,榨汁,干磨,碎肉",2.5L容量,10档,,食品级材料,30000-34999转/分钟,0
1779,joyoung/九阳,JYL-Y6,,,,,4-5人,1000-1200W,,"酱汁,搅拌,制奶昔,榨汁,混合",,10档,,食品级材料,25000-29999转/分钟,0
1780,topchef/顶厨,1088,,,,,4-5人,1000-1200W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",7L容量,10档,,不锈钢,10000-14999转/分钟,0
1781,aca/北美电器,ASM-DA1000,,,,,5人以上,1000-1200W,,"打蛋,搅拌,和面,混合",4.5L容量,10档,,不锈钢,15000-19999转/分钟,0
1782,hamilton beach/汉美驰,58911-CN,,,,,4-5人,1400-1600W,,"搅拌,榨汁,制奶昔,混合,研磨/制乳,干磨",1.8L容量,10档,,Tritan材料,20000-24999转/分钟,0
1783,german pool/德国宝,PRO-12S,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,10档,,Tritan材料,35000-39999转/分钟,0
1784,hurom/惠人,BL-PO1ISG,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,榨汁,干磨",1.7L容量,10档,,Tritan材料,35000-39999转/分钟,0
1785,german pool/德国宝,PRO-6S,,,,,4-5人,1200-1400W,,"碎冰,搅拌,制奶昔,干磨,榨汁",2L容量,10档,,Tritan材料,30000-34999转/分钟,0
1786,hamilton beach/汉美驰,58913-CN,,,,,5人以上,1200-1400W,,"搅拌,碎肉,制奶昔,绞肉,辅食,研磨,碎冰,榨汁",1.8L容量,10档,,Tritan材料,20000-24999转/分钟,0
1787,german pool/德国宝,PRO-813,,,,,5人以上,1200-1400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,10档,,Tritan材料,35000-39999转/分钟,0
1788,supor/苏泊尔,JP08P-1300,,,,,5人以上,1200-1400W,,"搅拌,绞肉,制奶昔,酱汁,米糊,沙冰,榨汁,干磨,浓汤",1.75L容量,10档,,玻璃,35000-39999转/分钟,0
1789,supor/苏泊尔,JP19D-1400,,,,,5人以上,1200-1400W,,"碎冰,搅拌,制奶昔,干磨,榨汁",2L容量,10档,,玻璃,30000-34999转/分钟,0
1790,airmate/艾美特,CBS2061E,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,10档,,食品级材料,30000-34999转/分钟,0
1791,hamilton beach/汉美驰,58912-CN,,,,,,1200-1400W,,"搅拌,制奶昔,混合,研磨,碎冰,榨汁,干磨",1.8L容量,10档,,Tritan材料,20000-24999转/分钟,0
1792,vitamix/维他美仕,S30W,,,,,1-3人,800-1000W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.2L容量,10档,,Tritan材料,0-4999转/分钟,0
1793,make joy/麦卓,JOY 010,,,,,4-5人,600-800W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,10档,,塑料,40000-44999转/分钟,0
1794,hamilton beach/汉美驰,58915-CN,,,,,1-3人,600-800W,,"搅拌,鱼汤,豆浆,碎冰,榨汁,干磨",1L容量,10档,,Tritan材料,20000-24999转/分钟,0
1795,vvmax/维仕美,VH,,,,,4-5人,2000-2200W,,"搅拌,碎肉,绞肉,碎冰,榨汁,干磨",2.5L容量,10档,,玻璃,45000-49999转/分钟,0
1796,german pool/德国宝,PRO-9,,,,,5人以上,1600-1800W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",2L容量,10档,,Tritan材料,35000-39999转/分钟,0
1797,blendfresh,575,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",2.5L容量,6档,,玻璃,15000-19999转/分钟,0
1798,blendfresh,CLASSIC 570,,,,,,1400W-1600W,,"搅拌,沙冰,制奶昔,榨汁,混合",,6档,,塑料,25000-29999转/分钟,0
1799,nathome/北欧欧慕,NPB1510,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,6档,,食品级材料,45000-49999转/分钟,0
1800,捷赛,JSP01,,,,,2-6人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,6档,,PCTG,30000-34999转/分钟,0
1801,hanjiaours/汉佳欧斯,XW-796,,,,,1-3人,200-400W,,"打蛋,搅拌,碎肉,切丝,切菜,混合,切片,绞肉,碎冰,榨汁,干磨",1.5L容量,6档,,食品级AS材料,20000-24999转/分钟,0
1802,hanil,HMF-GP780SY,,,,,4-5人,400-600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",3L容量,6档,,,10000-14999转/分钟,0
1803,royalstar/荣事达,RZ-2208T,,,,,1-3人,400-600W,,"打蛋,搅拌,绞肉",0.8L容量,6档,,塑料,10000-14999转/分钟,0
1804,ouke/欧科,OK7066,,,,,4-5人,200-400W,,"碎肉,搅拌,切菜,混合,绞肉,干磨",1.5L容量,1档,,玻璃,,0
1805,bear/小熊,JBQ-A05D2,,,,,1-3人,400-600W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,榨汁,干磨",0.7L容量,6档,,食品级AS材料,20000-24999转/分钟,0
1806,topchef/顶厨,1086S,,,,,4-5人,1000-1200W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,榨汁,干磨",5l容量,6档,,不锈钢,10000-14999转/分钟,0
1807,topchef/顶厨,SM-1086S,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",5l容量,6档,,不锈钢,10000-14999转/分钟,0
1808,topchef/顶厨,SM-1089,,,,,5人以上,1000-1200W,,"搅拌,和面,出面条,碎肉,制奶昔,混合,打蛋,绞肉,榨汁,干磨",7L容量,6档,,不锈钢,10000-14999转/分钟,0
1809,topchef/顶厨,SM-986S,,,,,5人以上,1000-1200W,,"搅拌,和面",5l容量,6档,,不锈钢,10000-14999转/分钟,0
1810,topchef/顶厨,SM-1083S,,,,,5人以上,1000-1200W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",5l容量,6档,,不锈钢,10000-14999转/分钟,0
1811,sero/瑟诺电器,SJ-V60T,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",2L容量,6档,,Tritan材料,30000-34999转/分钟,0
1812,konka/康佳,KPB-V1358,,月牙形,塑料,,1-3人,1200-1400W,,"绞肉,辅食,豆浆,沙冰,榨汁,干磨",2L容量,6档,,食品级材料,20000-24999转/分钟,0
1813,sero/瑟诺电器,SJ-V50A,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,6档,,Tritan材料,35000-39999转/分钟,0
1814,l'equip/莱希芙,BS-5,,,,,4-5人,600-800W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,干磨",1.6L容量,6档,,Tritan材料,25000-29999转/分钟,0
1815,braun/博朗,JB3060,,,,,4-5人,600-800W,,"碎冰,搅拌,制奶昔",1.75L容量,6档,,玻璃,15000-19999转/分钟,0
1816,bear/小熊,JBQ-D05A1,,,,,1-3人,600-800W,,"绞肉,干磨,榨汁,切丝/切片,搅拌",1.2L容量,6档,,塑料,20000-24999转/分钟,0
1817,bear/小熊,JBQ-D05D2,,,,,1-3人,600-800W,,"打蛋,搅拌,榨汁,干磨,绞肉",1.2L容量,6档,,食品级材料,20000-24999转/分钟,0
1818,sero/瑟诺电器,SJ-V80A,,,,,4-5人,2000-2200W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,6档,,Tritan材料,45000-49999转/分钟,0
1819,oumaisi/欧麦斯,988B,,,,,4-5人,2000-2200W,,"搅拌,和面,碎肉,切菜,碾磨,绞肉,碎冰,切丝/切片,榨汁,干磨",2.5L容量,6档,,塑料,45000-49999转/分钟,0
1820,hyundai/现代,BD-LL2401,,圆形,塑料,,4-5人,1600-1800W,,"碎冰,搅拌,榨汁",2L容量,6档,,食品级材料,25000-29999转/分钟,0
1821,eupa/灿坤,TSK-9679BVP,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,米糊,绞肉,碎冰,榨汁,干磨,浓汤",1.75L容量,4档,,玻璃,35000-39999转/分钟,0
1822,kidsmile/凯德氏,FE318F1,,,,,4-5人,200-400W,,"搅拌,干磨,绞肉",,4档,,Tritan材料,30000-34999转/分钟,0
1823,midea/美的,MJ-BL35D5,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,4档,,玻璃,15000-19999转/分钟,0
1824,deerma/德尔玛,BL-SS303,,圆形,不锈钢加厚玻璃,,3-6人,200-400W,,"打蛋,搅拌,制奶昔,混合",1.5L容量,4档,,玻璃,20000-24999转/分钟,0
1825,mester/美斯特,MST-603,,月牙形,塑料,,3-4人,200-400W,,"搅拌,榨汁",,4档,,食品级PC材料,10000-14999转/分钟,0
1826,royalstar/荣事达,RZ-388,,,,,1-3人,200-400W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁",1.5L容量,4档,,食品级PC材料,15000-19999转/分钟,0
1827,fore/福尔,FE318A,,,,,4-5人,200-400W,,"搅拌,和面,打蛋,绞肉,碎冰,榨汁",0.55L,4档,,食品级PC材料,30000-34999转/分钟,0
1828,petrus/柏翠,PE2618,,,,,4-5人,400-600W,,"搅拌,制奶昔,果汁",1.5L容量,4档,,玻璃,15000-19999转/分钟,0
1829,weking/威王,WJ-6801,,,,,5人以上,400-600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,4档,,食品级材料,25000-29999转/分钟,0
1830,gaobo/高博,SM-508,,,,,5人以上,400-600W,,"搅拌,制奶昔,混合,打蛋,豆浆,碎冰,榨汁,干磨",1.7L容量,4档,,不锈钢,45000-49999转/分钟,0
1831,midea/美的,MJ-WBL1021W,,,,,2-5人,1000-1200W,,"碎冰,榨汁,干磨",2L容量,4档,,Tritan材料,30000-34999转/分钟,0
1832,midea/美的,MJ-WBL1005Q,,,,,4-5人,1000-1200W,,"玉米汁,加热,豆浆,浓汤",1.75L容量,4档,,玻璃,25000-29999转/分钟,0
1833,midea/美的,BL10K11,,,,,4-5人,1000-1200W,,"米糊,熬粥,豆浆,浓汤",1.75L容量,4档,,玻璃,25000-29999转/分钟,0
1834,midea/美的,MJ-BL80Y21,,,,,4-5人,600-800W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,4档,,玻璃,20000-24999转/分钟,0
1835,hyundai/现代,QC-LL2496,,,,,5人以上,600-800W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.5L容量,4档,,食品级PC材料,30000-34999转/分钟,0
1836,xm/芯美,JB-780BWN,,,,,2-5人,2000-2200W,,"搅拌,养生糊,碎肉,切菜,碎冰,榨汁,干磨,制奶昔",2L容量,智能调节,,玻璃,45000-49999转/分钟,0
1837,edos/爱动,YM-600,,,,,4-5人,2000-2200W,,"碎肉,榨汁,制奶昔,混合,绞肉,碎冰,打排骨汤",2L容量,智能调节,,玻璃,45000-49999转/分钟,0
1838,ladyship/贵夫人,LS-3000,,圆形,塑料,,4-5人,800-1000W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,碎冰,榨汁,干磨",1.6L容量,智能调节,,Tritan材料,0-4999转/分钟,0
1839,小k斯,YH-1088,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,智能调节,,,45000-49999转/分钟,0
1840,sande/三的,SD-523,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",2L容量,智能调节,,玻璃,40000-44999转/分钟,0
1841,royalstar/荣事达,RZ-2005A,,,,,5人以上,1800-2000W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.75L容量,智能调节,,玻璃,30000-34999转/分钟,0
1842,小厨师,PB-F012H,,,,,4-5人,2400-2600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,智能调节,,玻璃,30000-34999转/分钟,0
1843,german pool/德国宝,PRO-M1,,,,,1-3人,600-800W,,"搅拌,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1L容量,智能调节,,,20000-24999转/分钟,0
1844,bestday/贝尔斯顿,PBJ-G16K,,,,,4-5人,1000-1200W,,"绞肉,制奶昔,煮粥,米糊,研磨,沙冰,榨汁,浓汤",1.75L容量,,,玻璃,,0
1845,geligao/格立高,GLG-L927,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,智能调节,,玻璃,25000-29999转/分钟,0
1846,eupa/灿坤,TSK-9272,,,,,1-3人,50-100W,,"碾磨,干磨",0.1L容量,5档,,,0-4999转/分钟,0
1847,星箭,XJ-003,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,干磨",2L容量,5档,,不锈钢,10000-14999转/分钟,0
1848,优阳,MD-140,,,,,5人以上,200-400W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.5L容量,5档,,玻璃,15000-19999转/分钟,0
1849,morphyrichards/摩飞电器,MR928,,,,,5人以上,200-400W,,"打蛋,搅拌,和面,混合",4.3L容量,5档,,不锈钢,0-4999转/分钟,0
